"playerID","yearID","lgID"
"burketi01",1989,"NL"
"burksel01",1990,"AL"
"burksel01",1996,"NL"
"burleri01",1977,"AL"
"burleri01",1978,"AL"
"burleri01",1979,"AL"
"burleri01",1981,"AL"
"burnije01",1999,"NL"
"burnsbr01",1981,"AL"
"burroje01",1974,"AL"
"burroje01",1978,"NL"
"busbyji01",1951,"AL"
"busbyst01",1974,"AL"
"busbyst01",1975,"AL"
"butlebr01",1991,"NL"
"byrdma01",2010,"NL"
"byrdpa01",1999,"NL"
"byrneto01",1950,"AL"
"cabremi01",2004,"NL"
"cabremi01",2005,"NL"
"cabremi01",2006,"NL"
"cabremi01",2007,"NL"
"cabremi01",2010,"AL"
"cahiltr01",2010,"AL"
"cainma01",2009,"NL"
"caldeiv01",1991,"NL"
"callijo01",1962,"NL"
"callijo01",1964,"NL"
"callijo01",1965,"NL"
"camermi01",2001,"AL"
"camildo01",1939,"NL"
"camildo01",1941,"NL"
"caminke01",1994,"NL"
"caminke01",1996,"NL"
"caminke01",1997,"NL"
"campabe01",1968,"AL"
"campabe01",1972,"AL"
"campabe01",1973,"AL"
"campabe01",1974,"AL"
"campabe01",1975,"AL"
"campabe01",1977,"AL"
"camparo01",1949,"NL"
"camparo01",1950,"NL"
"camparo01",1951,"NL"
"camparo01",1952,"NL"
"camparo01",1953,"NL"
"camparo01",1954,"NL"
"camparo01",1955,"NL"
"camparo01",1956,"NL"
"campbbi02",1977,"AL"
"candejo01",1977,"NL"
"cannich01",1969,"NL"
"canoro01",2006,"AL"
"canoro01",2010,"AL"
"cansejo01",1986,"AL"
"cansejo01",1988,"AL"
"cansejo01",1989,"AL"
"cansejo01",1990,"AL"
"cansejo01",1992,"AL"
"cansejo01",1999,"AL"
"cappsma01",2010,"NL"
"caprabu01",1974,"NL"
"capuach01",2006,"NL"
"cardele01",1964,"NL"
"cardele01",1965,"NL"
"cardele01",1966,"NL"
"cardele01",1968,"NL"
"cardele01",1971,"AL"
"carewro01",1967,"AL"
"carewro01",1968,"AL"
"carewro01",1969,"AL"
"carewro01",1970,"AL"
"carewro01",1971,"AL"
"carewro01",1972,"AL"
"carewro01",1973,"AL"
"carewro01",1974,"AL"
"carewro01",1975,"AL"
"carewro01",1976,"AL"
"carewro01",1977,"AL"
"carewro01",1978,"AL"
"carewro01",1979,"AL"
"carewro01",1980,"AL"
"carewro01",1981,"AL"
"carewro01",1982,"AL"
"carewro01",1983,"AL"
"carewro01",1984,"AL"
"carltst01",1968,"NL"
"carltst01",1969,"NL"
"carltst01",1971,"NL"
"carltst01",1972,"NL"
"carltst01",1974,"NL"
"carltst01",1977,"NL"
"carltst01",1979,"NL"
"carltst01",1980,"NL"
"carltst01",1981,"NL"
"carltst01",1982,"NL"
"carmofa01",2010,"AL"
"carpech01",2005,"NL"
"carpech01",2006,"NL"
"carpech01",2010,"NL"
"carrach01",1951,"AL"
"carrach01",1953,"AL"
"carrach01",1954,"AL"
"carrach01",1955,"AL"
"carrocl02",1971,"NL"
"carrocl02",1972,"NL"
"cartega01",1975,"NL"
"cartega01",1979,"NL"
"cartega01",1980,"NL"
"cartega01",1981,"NL"
"cartega01",1982,"NL"
"cartega01",1983,"NL"
"cartega01",1984,"NL"
"cartega01",1985,"NL"
